population,ind.,TW,TL,SL,PL,HT,FL,seeds
Good Earth,GE001,8.7,44.6,29.9,194.9,46,53,6
Good Earth,GE002,5.7,40.1,16.3,93.9,32,51,41
Good Earth,GE003,6.81,42.25,29.85,97.35,35,35,48
Good Earth,GE004,8.2,36.5,17.7,94.8,37,35,36
Good Earth,,7.5,44.5,30,106.2,23,28,
Good Earth,GE006,9.5,40.9,24.9,127.6,34,59,7
Good Earth,GE007,8.1,40.6,25.5,143.9,36,64,284
Good Earth,GE008,8.2,30,27.4,104.6,32,44,71
Good Earth,GE009,10.88,43.81,25.21,143.8,37,45,107
Good Earth,GE010,8.67,44.98,33.54,148.76,41,57,151
Good Earth,GE011,9.3,43.1,35.9,136.4,38,43,18
Good Earth,GE012,9.69,51.05,24.4,181.18,42,68,230
Good Earth,GE014,9.27,47.58,37.12,137.26,35,42,73
Good Earth,GE015,6.9,34.1,25.2,74.4,28,28,
Good Earth,GE016,10.4,47.7,18.5,140.1,41,65,157
Good Earth,GE017,7.52,52.15,27.27,194.01,44,38,24
Good Earth,GE018,7.9,48.7,29.5,144.7,40,58,26
Good Earth,GE019,8.3,41.7,34.4,123.9,30,28,178
Good Earth,GE020,7.9,41.7,39.9,27.6,39,63,
Good Earth,GE021,7.97,47,31.3,157.52,38,32,68
Good Earth,GE022,8.16,47.64,29.75,177.75,43,59,91
Good Earth,GE023,10.6,57.7,25.5,176.6,40,47,16
Good Earth,GE024,8.9,39.1,31.2,47.9,37,41,99
Good Earth,GE026,6.5,40.9,30.5,104.2,36,74,108
Good Earth,GE027,11,49.8,29.1,179.7,45,61,154
Good Earth,GE028,8.8,45.1,26.5,145.2,40,49,132
Good Earth,GE029,9.2,43.2,30.7,108.4,36,41,67
Good Earth,GE030,11.69,49.47,33.58,135.03,31,28,41
Good Earth,GE031,9.45,42.89,26.64,162.29,43,59,173
Good Earth,GE032,7.5,44.3,28.1,161,41,59,242
Good Earth,GE033,7.7,43.2,38.9,154.2,39,69,107
Good Earth,GE034,8.8,47.7,28.2,182.3,43,70,119
Good Earth,GE035,6.2,35.2,32.6,122,38,56,35
Good Earth,GE036,9.3,52.1,25.3,147,35,56,164
Good Earth,GE037,11.6,50.75,,144.65,41,39,116
Good Earth,GE038,7,39,27.3,96.3,35,47,110
Good Earth,GE039,9.71,50.08,,107.19,32,35,201
Good Earth,GE040,10.3,48.7,26.8,96.1,28,28,94
Good Earth,GE041,8.79,42.08,32.42,138.37,37,46,112
Good Earth,GE042,7.2,43.2,40.4,151.9,35,34,60
Good Earth,GE043,7.5,38.9,30.2,143.4,31,32,9
Good Earth,GE044,0.8,42.6,34.3,151,51,74,10
Good Earth,GE045,8.3,40.5,23.9,103.3,35,35,45
Good Earth,GE046,7,38,24,161,43,43,150
Good Earth,GE047,8.1,38.8,21.5,161.9,52,41,204
Good Earth,GE048,10.1,50.9,27.2,142,45,61,222
Good Earth,GE049,10.4,55,27.6,165,44,33,35
Good Earth,GE050,8.97,46.79,23.92,152.05,40,31,57
Good Earth,GE051,7.2,28.8,28.8,120.6,37,64,0
Good Earth,GE052,9.8,50.9,17.6,205,48,60,83
Good Earth,GE054,10.36,49.46,40.43,207,51,67,156
Good Earth,GE055,5,42,28.6,129.6,38,20,14
Good Earth,GE056,8.7,45.7,29.8,124.8,42,31,100
Good Earth,GE057,8,37.3,26,148.1,45,39,0
Good Earth,GE058,10.7,42,24.1,163,42,76,131
Good Earth,GE059,5,36.1,27.5,147,46,35,48
Good Earth,GE060,8.01,40.28,26.4,137.94,37,41,216
Good Earth,GE062,6.4,41.77,34.5,131.52,37,29,17
Good Earth,GE063,7.2,47.4,30.1,117,42,33,87
Good Earth,GE064,7.5,56.4,34,183.1,42,42,43
Good Earth,GE065,6.92,51.03,28.54,112.67,42,39,89
Good Earth,GE066,11.5,41.4,28.7,164.5,47,38,45
Good Earth,GE067,8.34,43,24.89,150.05,51,47,229
Good Earth,GE068,7.3,41.1,29.1,105.5,34,37,122
Good Earth,GE069,9.4,42,32.8,158.6,42,43,224
Good Earth,GE070,11.48,42.93,34.93,125.95,41,50,115
Good Earth,GE071,8.7,41.9,28.1,113.6,38,28,34
Good Earth,GE073,12.13,48.03,38.4,192.5,47,55,110
Good Earth,GE074,4.5,45.4,35.4,133.7,44,29,71
Good Earth,GE075,13.51,47.7,22.9,205,51,52,13
Good Earth,GE076,7.11,40.36,36,175.62,45,51,23
Good Earth,GE077,7.1,46.4,35.6,121.5,46,49,7
Good Earth,GE078,9.1,47.3,27,143.9,47,36,138
Good Earth,GE079,9.89,44.18,25.24,190.08,52,52,73
Good Earth,GE080,5.3,42.6,31.9,126.3,47,55,27
Good Earth,GE081,9.8,42.3,31.6,135.5,40,38,16
Good Earth,GE082,8.3,47.4,29.5,157.5,44,34,48
Good Earth,GE083,7.3,41.4,28.2,118,42,46,107
Good Earth,GE084,7.5,47.7,29.2,112.6,40,56,84
Good Earth,GE085,8.8,36.2,33.8,135.2,46,33,69
Good Earth,GE086,6.7,29.7,27,121.3,42,32,26
Good Earth,GE087,9.8,41.8,28.2,135.4,42,39,11
Good Earth,GE088,8,49,26.9,174,45,37,7
Good Earth,GE089,7.4,52.3,28.9,137.9,42,40,58
Good Earth,GE090,9.7,46.6,27.6,105,34,49,229
Good Earth,GE091,8,36.6,23.7,119.7,33,22,39
Good Earth,GE092,8.1,47.7,24.1,136,42,39,99
Good Earth,GE093,7.5,44.5,26.7,144.2,42,41,150
Good Earth,GE094,8.7,38.1,20,122.4,40,51,201
Good Earth,GE095,9.3,48,26.8,135.7,36,49,84
Good Earth,GE097,7.4,37.6,20.5,121.9,29,30,38
Good Earth,GE098,9.1,49.7,23.4,173.1,45,47,151
Good Earth,GE099,7.2,40.7,22.8,123.1,37,53,42
Good Earth,GE100,8.2,48.3,21.2,110.9,34,30,68
Good Earth,GE101,7.1,43.2,33.9,117.4,47,55,196
Good Earth,GE102,9.8,48.3,24.9,117.5,41,52,186
Good Earth,GE104,8.1,50,30.1,81.8,36,33,32
Good Earth,GE105,6.5,40.9,30.6,113.1,23,58,145
Good Earth,GE106,9,37.1,30.2,119.6,38,56,96
Good Earth,GE107,7.5,45.6,26,103.6,34,37,65
Good Earth,GE108,7.1,40.6,32.9,11.4,35,51,132
Good Earth,GE109,5.8,31.9,26.5,74.9,36,37,39
Good Earth,GE110,7.7,35.7,30.8,103.6,40,47,117
Good Earth,GE111,9.7,55.3,34.4,131.7,39,37,110
Good Earth,GE112,7.9,35.1,26.9,119.6,42,64,186
Good Earth,GE113,5.9,41.5,31.3,102.4,34,43,64
Good Earth,GE114,9.2,43.5,31.7,141.8,42,27,84
Good Earth,GE115,8.8,45,23.1,160.2,48,45,80
Good Earth,GE116,5.8,41.4,28.2,147.7,37,46,36
Good Earth,GE117,6.7,40.6,34.9,130.6,36,50,19
